USAGE_KWH,USAGE_DATE
0.181,2018-08-01T00:00:00.000
0.565,2018-08-01T00:15:00.000
0.164,2018-08-01T00:30:00.000
0.152,2018-08-01T00:45:00.000
0.172,2018-08-01T01:00:00.000
0.436,2018-08-01T01:15:00.000
0.287,2018-08-01T01:30:00.000
0.146,2018-08-01T01:45:00.000
0.149,2018-08-01T02:00:00.000
0.401,2018-08-01T02:15:00.000
0.325,2018-08-01T02:30:00.000
0.161,2018-08-01T02:45:00.000
0.144,2018-08-01T03:00:00.000
0.157,2018-08-01T03:15:00.000
0.547,2018-08-01T03:30:00.000
0.168,2018-08-01T03:45:00.000
0.155,2018-08-01T04:00:00.000
0.149,2018-08-01T04:15:00.000
0.164,2018-08-01T04:30:00.000
0.161,2018-08-01T04:45:00.000
0.251,2018-08-01T05:00:00.000
0.172,2018-08-01T05:15:00.000
0.166,2018-08-01T05:30:00.000
0.169,2018-08-01T05:45:00.000
0.166,2018-08-01T06:00:00.000
0.167,2018-08-01T06:15:00.000
0.164,2018-08-01T06:30:00.000
0.172,2018-08-01T06:45:00.000
0.175,2018-08-01T07:00:00.000
0.158,2018-08-01T07:15:00.000
0.149,2018-08-01T07:30:00.000
1.014,2018-08-01T07:45:00.000
0.212,2018-08-01T08:00:00.000
0.152,2018-08-01T08:15:00.000
0.502,2018-08-01T08:30:00.000
0.157,2018-08-01T08:45:00.000
0.462,2018-08-01T09:00:00.000
1.014,2018-08-01T09:15:00.000
0.245,2018-08-01T09:30:00.000
0.565,2018-08-01T09:45:00.000
0.161,2018-08-01T10:00:00.000
0.154,2018-08-01T10:15:00.000
0.558,2018-08-01T10:30:00.000
0.174,2018-08-01T10:45:00.000
1.535,2018-08-01T11:00:00.000
1.152,2018-08-01T11:15:00.000
0.434,2018-08-01T11:30:00.000
0.595,2018-08-01T11:45:00.000
0.384,2018-08-01T12:00:00.000
0.361,2018-08-01T12:15:00.000
1.511,2018-08-01T12:30:00.000
1.602,2018-08-01T12:45:00.000
1.229,2018-08-01T13:00:00.000
1.176,2018-08-01T13:15:00.000
0.826,2018-08-01T13:30:00.000
0.997,2018-08-01T13:45:00.000
1.051,2018-08-01T14:00:00.000
1.054,2018-08-01T14:15:00.000
1.948,2018-08-01T14:30:00.000
2.273,2018-08-01T14:45:00.000
2.323,2018-08-01T15:00:00.000
1.222,2018-08-01T15:15:00.000
1.17,2018-08-01T15:30:00.000
1.192,2018-08-01T15:45:00.000
2.302,2018-08-01T16:00:00.000
2.474,2018-08-01T16:15:00.000
2.485,2018-08-01T16:30:00.000
1.412,2018-08-01T16:45:00.000
1.175,2018-08-01T17:00:00.000
2.204,2018-08-01T17:15:00.000
2.287,2018-08-01T17:30:00.000
2.4,2018-08-01T17:45:00.000
1.77,2018-08-01T18:00:00.000
1.883,2018-08-01T18:15:00.000
2.318,2018-08-01T18:30:00.000
2.185,2018-08-01T18:45:00.000
1.474,2018-08-01T19:00:00.000
1.424,2018-08-01T19:15:00.000
1.406,2018-08-01T19:30:00.000
1.254,2018-08-01T19:45:00.000
1.121,2018-08-01T20:00:00.000
1.154,2018-08-01T20:15:00.000
2.09,2018-08-01T20:30:00.000
2.234,2018-08-01T20:45:00.000
2.208,2018-08-01T21:00:00.000
1.36,2018-08-01T21:15:00.000
0.808,2018-08-01T21:30:00.000
1.142,2018-08-01T21:45:00.000
1.111,2018-08-01T22:00:00.000
0.77,2018-08-01T22:15:00.000
1.013,2018-08-01T22:30:00.000
0.908,2018-08-01T22:45:00.000
0.523,2018-08-01T23:00:00.000
0.209,2018-08-01T23:15:00.000
0.589,2018-08-01T23:30:00.000
0.551,2018-08-01T23:45:00.000
0.239,2018-08-02T00:00:00.000
